ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,備註
10.85,2.62,45.26,4.93,1,3705,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
21.2,6.51,27.35,2.84,1,1773,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
33.93,10.4,31.2,4.36,1,2707,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.49,3.9,30.21,7.38,1,2433,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.7,6.78,20.01,2.84,1,6230,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.23,3.52,27.2,5.86,1,2520,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.48,15.7,52.96,1.76,1,2059,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.26,3.74,20.85,5.72,1,8150,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.05,3.0,26.79,2.34,1,4148,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.51,10.13,34.45,1.92,1,2049,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
26.61,13.99,83.16,6.68,1,4137,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.99,6.57,48.2,5.07,1,6464,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.55,2.12,40.72,2.55,1,6183,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.5,3.81,33.82,2.1,1,3022,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
22.95,5.55,33.42,1.81,1,4968,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.13,3.12,24.49,4.62,1,3450,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.77,3.16,22.8,4.94,1,5007,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.48,5.6,24.96,6.97,1,6214,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.0,3.69,26.64,5.87,1,1101,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.22,5.04,20.14,4.05,1,9939,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.97,6.08,28.25,1.17,1,3653,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.84,11.51,24.88,7.23,1,1558,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.94,9.14,89.83,4.66,1,3130,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.05,2.27,24.15,2.06,1,2481,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
22.32,3.82,35.49,3.97,1,2337,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.47,5.73,33.2,3.01,1,4571,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.47,1.68,28.14,3.86,1,2614,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.27,4.67,26.89,7.42,1,2397,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.96,28.02,41.38,4.48,1,2454,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
37.83,14.36,23.89,4.78,1,6670,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.46,2.14,24.86,3.29,1,9926,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
41.34,18.97,64.62,4.79,1,3563,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.78,3.61,23.16,5.12,1,6754,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.45,4.94,27.33,5.59,1,2441,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
15.7,4.03,33.25,5.07,1,1702,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.33,5.8,21.41,4.15,1,3006,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.23,3.31,21.73,2.16,1,1231,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
41.13,23.79,27.73,1.35,1,6409,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
25.21,8.2,34.72,4.05,1,6706,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.48,3.13,28.16,5.65,1,1227,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.61,4.47,30.69,2.12,1,1560,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.39,7.74,28.62,2.4,1,4551,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.77,3.06,50.71,1.18,1,5222,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.73,23.65,33.87,6.65,1,2474,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.25,4.5,27.55,6.65,1,3005,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
27.23,5.29,49.21,7.17,1,6202,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.58,5.54,28.33,4.17,1,6438,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.54,4.53,25.92,4.95,1,3045,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.73,3.94,35.17,4.7,1,9911,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.89,3.9,28.85,5.42,1,6257,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
32.01,6.72,23.65,2.74,1,9910,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.35,4.98,23.25,3.77,1,1723,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.08,2.67,30.47,6.13,1,9940,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.22,2.82,25.68,2.47,1,1526,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.68,1.92,29.76,1.95,1,2539,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.22,4.92,27.65,3.37,1,8462,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.87,8.62,28.26,1.94,1,2308,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
23.34,6.11,33.89,7.16,1,5234,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
33.2,37.27,42.28,5.55,1,2327,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
26.61,9.48,81.57,4.4,1,1707,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
32.4,14.91,50.86,3.64,1,8464,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.17,4.49,31.22,7.15,1,4999,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
15.79,3.24,37.65,6.38,1,2420,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.74,6.26,39.17,6.05,1,6641,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.87,5.92,74.73,4.44,1,4190,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.49,5.75,22.93,7.87,1,1582,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.14,3.59,20.97,3.64,1,4764,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
18.12,9.84,37.91,7.63,1,5534,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.36,11.13,36.82,6.12,1,8081,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
25.36,11.6,38.36,3.8,1,5283,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.8,2.08,28.14,2.97,1,2505,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.53,3.88,26.9,5.46,1,1527,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
28.01,5.98,33.14,7.85,1,2108,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.74,8.06,40.15,6.69,1,2408,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.37,8.59,29.98,6.96,1,2548,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.26,2.45,21.84,2.58,1,6743,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.07,4.43,41.66,3.26,1,4572,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.6,8.12,32.33,5.87,1,8480,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.31,4.74,24.01,7.58,1,2451,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.13,2.14,23.84,11.33,1,4807,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.68,5.1,21.43,7.45,1,4552,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
15.23,3.67,39.43,2.03,1,4919,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
