358,2449　京元電子,上市,半導體業
359,2450　神腦,上市,通信網路業
360,2451　創見,上市,半導體業
361,2453　凌群,上市,資訊服務業
362,2454　聯發科,上市,半導體業
363,2455　全新,上市,通信網路業
364,2457　飛宏,上市,電子零組件業
365,2458　義隆,上市,半導體業
366,2459　敦吉,上市,其他電子業
367,2460　建通,上市,電子零組件業
368,2461　光群雷,上市,其他電子業
369,2462　良得電,上市,電子零組件業
370,2464　盟立,上市,其他電子業
371,2465　麗臺,上市,電腦及週邊設備業
372,2466　冠西電,上市,光電業
373,2467　志聖,上市,電子零組件業
374,2468　華經,上市,資訊服務業
375,2471　資通,上市,資訊服務業
376,2472　立隆電,上市,電子零組件業
377,2474　可成,上市,其他電子業
378,2476　鉅祥,上市,電子零組件業
379,2477　美隆電,上市,其他電子業
380,2478　大毅,上市,電子零組件業
381,2480　敦陽科,上市,資訊服務業
382,2481　強茂,上市,半導體業
383,2482　連宇,上市,其他電子業
384,2483　百容,上市,電子零組件業
385,2484　希華,上市,電子零組件業
386,2485　兆赫,上市,通信網路業
387,2486　一詮,上市,光電業
388,2488　漢平,上市,其他電子業
389,2489　瑞軒,上市,光電業
390,2491　吉祥全,上市,光電業
391,2492　華新科,上市,電子零組件業
392,2493　揚博,上市,電子零組件業
393,2495　普安,上市,電腦及週邊設備業
394,2496　卓越,上市,其他業
395,2497　怡利電,上市,汽車工業
396,2498　宏達電,上市,通信網路業
397,2501　國建,上市,建材營造業
398,2504　國產,上市,建材營造業
399,2505　國揚,上市,建材營造業
400,2506　太設,上市,建材營造業
401,2509　全坤建,上市,建材營造業
402,2511　太子,上市,建材營造業
403,2514　龍邦,上市,其他業
404,2515　中工,上市,建材營造業
405,2516　新建,上市,建材營造業
406,2520　冠德,上市,建材營造業
407,2524　京城,上市,建材營造業
408,2527　宏璟,上市,建材營造業
409,2528　皇普,上市,建材營造業
410,2530　華建,上市,建材營造業
411,2534　宏盛,上市,建材營造業
412,2535　達欣工,上市,建材營造業
413,2536　宏普,上市,建材營造業
414,2537　聯上發,上市,建材營造業
415,2538　基泰,上市,建材營造業
416,2539　櫻花建,上市,建材營造業
417,2540　愛山林,上市,建材營造業
418,2542　興富發,上市,建材營造業
